status.region;区域
status.chunk;区块
status.block;方块
status.selected;选择
status.queue;队列
status.total;区域总数
status.overlay;覆盖
menu.file;文件
menu.view;视图
menu.selection;选择
menu.tools;工具
menu.about;关于
menu.file.new;新建
menu.file.open;打开
menu.file.open_recent;打开最近的
menu.file.open_recent.clear;清除
menu.file.save;保存
menu.file.save_as;另存为...
menu.file.open_world;打开世界
menu.file.open_dimension;打开另一个维度
menu.file.open_recent_world;打开一个以前的世界
menu.file.open_recent_world.clear;重置
menu.file.settings;设置
menu.file.render_settings;渲染设置
menu.file.quit;退出
menu.view.reload;重新加载
menu.view.chunk_grid;区块网格
menu.view.region_grid;区域网格
menu.view.coordinates;坐标
menu.view.goto;转到
menu.view.reset_zoom;重设缩放
menu.view.save_screenshot;保存截图
menu.view.clear_cache;清除缓存
menu.view.clear_all_cache;清除所有缓存
menu.selection.clear;清除
menu.selection.invert;倒置
menu.selection.invert_regions;反转选定区域
menu.selection.copy_chunks;复制区块
menu.selection.paste_chunks;粘贴区块
menu.selection.export_chunks;导出选定的区块
menu.selection.delete_chunks;删除选定的区块
menu.selection.import_selection;从 .csv 导入选择
menu.selection.export_selection;将选择导出为 .csv
menu.selection.export_image;导出为图像
menu.selection.clear_cache;清除缓存
menu.tools.import_chunks;导入区块
menu.tools.filter_chunks;筛选区块
menu.tools.change_fields;更改字段
menu.tools.edit_nbt;编辑区块
menu.tools.swap_chunks;交换区块
menu.tools.edit_overlays;编辑叠加
menu.tools.next_overlay;下一个叠加
menu.tools.next_overlay_type;叠加类型
menu.tools.sum_selection;选择总和
dialog.select_world.title;选择维度
dialog.settings.title;设置
dialog.settings.global.language;语言
dialog.settings.global.language.language;语言
dialog.settings.processing.process.process_threads;处理线程数
dialog.settings.processing.process;处理
dialog.settings.processing.process.write_threads;写入线程数
dialog.settings.processing.files.max_files;最大文件数
dialog.settings.global.selection.region_color;区域颜色
dialog.settings.global.selection.chunk_color;区块颜色
dialog.settings.global.selection.pasted_chunks_color;粘贴的区块颜色
dialog.settings.rendering.shade.shade;阴影
dialog.settings.rendering.shade;阴影
dialog.settings.rendering.shade.shade_water;水体阴影
dialog.settings.rendering.shade.shade_altitude;地形高度
dialog.settings.rendering.background.show_nonexistent_regions;显示不存在的区域
dialog.settings.rendering.smooth.smooth_rendering;平滑渲染
dialog.settings.rendering.smooth.smooth_overlays;平滑叠加
dialog.settings.rendering.background.background_pattern;背景图案
